Timestamp,Open,High,Low,Close,Volume
2025-01-06 04:00:00-05:00,222.68,224.15,222.68,223.31,279
2025-01-06 04:05:00-05:00,222.97,223.48,222.91,223.01,196
2025-01-06 04:10:00-05:00,223.04,223.55,223.04,223.48,167
2025-01-06 04:15:00-05:00,223.48,223.53,223.09,223.09,94
2025-01-06 04:20:00-05:00,223.45,223.48,223.09,223.43,103
2025-01-06 04:25:00-05:00,223.43,223.43,223.01,223.08,334
2025-01-06 04:30:00-05:00,223.08,223.08,223.01,223.01,69
2025-01-06 04:35:00-05:00,223.18,223.18,223.07,223.07,3
2025-01-06 04:40:00-05:00,223.06,223.06,223.02,223.06,76
2025-01-06 04:45:00-05:00,223.06,223.34,223.06,223.3,136
2025-01-06 04:50:00-05:00,223.09,223.43,223.09,223.43,29
2025-01-06 04:55:00-05:00,223.06,223.48,223.06,223.3,77
2025-01-06 05:00:00-05:00,223.3,223.48,223.08,223.08,100
2025-01-06 05:05:00-05:00,223.01,223.21,222.91,222.91,682
2025-01-06 05:10:00-05:00,223.37,223.37,222.94,223.3,81
2025-01-06 05:15:00-05:00,223.01,223.01,223.01,223.01,2
2025-01-06 05:20:00-05:00,223.03,223.29,223.03,223.28,22
2025-01-06 05:25:00-05:00,223.05,223.33,223.05,223.33,8
2025-01-06 05:30:00-05:00,223.3,223.3,223.07,223.24,45
2025-01-06 05:35:00-05:00,223.07,223.07,222.98,223.0,216
2025-01-06 05:40:00-05:00,223.01,223.24,222.99,223.03,79
2025-01-06 05:45:00-05:00,223.24,223.24,223.0,223.05,103
2025-01-06 05:50:00-05:00,223.05,223.05,222.91,223.04,53
2025-01-06 05:55:00-05:00,223.27,223.27,223.27,223.27,1
2025-01-06 06:00:00-05:00,223.07,223.07,222.91,222.97,114
2025-01-06 06:05:00-05:00,222.97,222.98,222.97,222.98,134
2025-01-06 06:10:00-05:00,222.91,223.15,222.9,223.15,286
2025-01-06 06:15:00-05:00,223.1,223.1,223.1,223.1,6
2025-01-06 06:20:00-05:00,223.09,223.1,223.09,223.1,51
2025-01-06 06:25:00-05:00,223.03,223.68,223.03,223.68,231
2025-01-06 06:30:00-05:00,223.6,223.78,223.29,223.76,172
2025-01-06 06:35:00-05:00,223.75,223.76,223.75,223.76,15
2025-01-06 06:40:00-05:00,223.76,224.06,223.75,224.05,122
2025-01-06 06:45:00-05:00,224.05,224.05,223.61,223.61,22
2025-01-06 06:50:00-05:00,224.0,224.0,223.62,223.78,126
2025-01-06 06:55:00-05:00,223.78,223.99,223.78,223.99,150
2025-01-06 07:00:00-05:00,223.8,224.14,223.75,224.01,2496
2025-01-06 07:05:00-05:00,224.0,224.4,223.83,224.2,33
2025-01-06 07:10:00-05:00,223.9,224.09,223.82,224.0,117
2025-01-06 07:15:00-05:00,224.07,224.07,223.75,223.75,425
2025-01-06 07:20:00-05:00,224.0,224.19,223.78,223.78,37
2025-01-06 07:25:00-05:00,223.78,223.78,223.14,223.39,1888
2025-01-06 07:30:00-05:00,223.5,223.5,223.27,223.5,713
2025-01-06 07:35:00-05:00,223.3,223.5,223.29,223.31,271
2025-01-06 07:40:00-05:00,223.32,223.5,223.32,223.5,104
2025-01-06 07:45:00-05:00,223.5,223.5,223.29,223.5,1893
2025-01-06 07:50:00-05:00,223.38,223.5,223.2,223.5,394
2025-01-06 07:55:00-05:00,223.48,223.48,223.2,223.2,42
2025-01-06 08:00:00-05:00,223.77,224.8,222.48,223.34,2276
2025-01-06 08:05:00-05:00,223.36,223.45,223.34,223.34,30
2025-01-06 08:10:00-05:00,223.5,223.5,223.18,223.24,1625
2025-01-06 08:15:00-05:00,223.24,223.5,223.18,223.49,46
2025-01-06 08:20:00-05:00,223.5,223.5,223.34,223.46,39
2025-01-06 08:25:00-05:00,223.34,223.5,223.34,223.4978,55
2025-01-06 08:30:00-05:00,223.34,223.5,223.34,223.49,175
2025-01-06 08:35:00-05:00,223.49,223.5,223.3,223.31,172
2025-01-06 08:40:00-05:00,223.4,223.4,223.25,223.27,452
2025-01-06 08:45:00-05:00,223.27,223.5,223.19,223.5,143
